project_name,algorithm,MCC,f1_M,f1_A
Libreoffice,DT,0.293256314,0.843275703,0.330168281
Libreoffice,DT,0.293256314,0.843275703,0.330168281
Libreoffice,DT,0.293256314,0.843275703,0.330168281
Libreoffice,DT,0.293256314,0.843275703,0.330168281
Libreoffice,DT,0.293256314,0.843275703,0.330168281
Libreoffice,RF,0.379248904,0.928146058,0.433087711
Libreoffice,RF,0.371615084,0.923735401,0.424819185
Libreoffice,RF,0.378900856,0.927903402,0.432693068
Libreoffice,RF,0.376221739,0.925956881,0.429602048
Libreoffice,RF,0.374430256,0.925834189,0.42810559
Libreoffice,LR,0.032148278,0.08763769,0.161152359
Libreoffice,LR,0.032148278,0.08763769,0.161152359
Libreoffice,LR,0.032148278,0.08763769,0.161152359
Libreoffice,LR,0.032148278,0.08763769,0.161152359
Libreoffice,LR,0.032148278,0.08763769,0.161152359
Libreoffice,LGBM,0.247095831,0.792493211,0.286911823
Libreoffice,LGBM,0.247095831,0.792493211,0.286911823
Libreoffice,LGBM,0.247095831,0.792493211,0.286911823
Libreoffice,LGBM,0.247095831,0.792493211,0.286911823
Libreoffice,LGBM,0.247095831,0.792493211,0.286911823
Libreoffice,ET,0.362007914,0.921042514,0.415868263
Libreoffice,ET,0.360183596,0.920704311,0.414262222
Libreoffice,ET,0.360711837,0.921584086,0.415108565
Libreoffice,ET,0.355986299,0.920274824,0.41073966
Libreoffice,ET,0.362316466,0.92137945,0.416278721
Eclipse,DT,0.335213762,0.835290657,0.446800426
Eclipse,DT,0.335213762,0.835290657,0.446800426
Eclipse,DT,0.335213762,0.835290657,0.446800426
Eclipse,DT,0.335213762,0.835290657,0.446800426
Eclipse,DT,0.335213762,0.835290657,0.446800426
Eclipse,RF,0.266239045,0.690764627,0.380241481
Eclipse,RF,0.245916263,0.651673866,0.364777707
Eclipse,RF,0.281201984,0.71952898,0.392614671
Eclipse,RF,0.273802855,0.704277391,0.386217992
Eclipse,RF,0.276557574,0.705382509,0.38780658
Eclipse,LR,0.236799738,0.698512762,0.366203278
Eclipse,LR,0.236784744,0.698496018,0.366193374
Eclipse,LR,0.236799738,0.698512762,0.366203278
Eclipse,LR,0.236784744,0.698496018,0.366193374
Eclipse,LR,0.236799738,0.698512762,0.366203278
Eclipse,LGBM,0.208114152,0.562504525,0.33805841
Eclipse,LGBM,0.208114152,0.562504525,0.33805841
Eclipse,LGBM,0.208114152,0.562504525,0.33805841
Eclipse,LGBM,0.208114152,0.562504525,0.33805841
Eclipse,LGBM,0.208114152,0.562504525,0.33805841
Eclipse,ET,0.373881036,0.851141021,0.476531737
Eclipse,ET,0.372767721,0.846530805,0.474725275
Eclipse,ET,0.372780641,0.849588297,0.47543036
Eclipse,ET,0.374645111,0.851381611,0.47711337
Eclipse,ET,0.376000236,0.850613892,0.477877493
Gerrithub,DT,0.148127968,0.937886887,0.148741928
Gerrithub,DT,0.148127968,0.937886887,0.148741928
Gerrithub,DT,0.148127968,0.937886887,0.148741928
Gerrithub,DT,0.148127968,0.937886887,0.148741928
Gerrithub,DT,0.148127968,0.937886887,0.148741928
Gerrithub,RF,0.11702255,0.938527774,0.107612782
Gerrithub,RF,0.137290249,0.938977175,0.125783244
Gerrithub,RF,0.069136423,0.94026417,0.043780582
Gerrithub,RF,0.107094531,0.93809177,0.101057579
Gerrithub,RF,0.148420344,0.939055432,0.138041734
Gerrithub,LR,0.382021867,0.950267267,0.318414607
Gerrithub,LR,0.382021867,0.950267267,0.318414607
Gerrithub,LR,0.382021867,0.950267267,0.318414607
Gerrithub,LR,0.382021867,0.950267267,0.318414607
Gerrithub,LR,0.382021867,0.950267267,0.318414607
Gerrithub,LGBM,0.148127968,0.937886887,0.148741928
Gerrithub,LGBM,0.148127968,0.937886887,0.148741928
Gerrithub,LGBM,0.148127968,0.937886887,0.148741928
Gerrithub,LGBM,0.148127968,0.937886887,0.148741928
Gerrithub,LGBM,0.148127968,0.937886887,0.148741928
Gerrithub,ET,0.053704696,0.941625383,0.007090265
Gerrithub,ET,0.082297059,0.941866992,0.015748031
Gerrithub,ET,0.168028051,0.943196236,0.062549695
Gerrithub,ET,0.181509959,0.943485944,0.07176781
Gerrithub,ET,0.104486128,0.942123837,0.024864865
Eclipse,ibea,0.565441412,0.943198433,0.596652306
Eclipse,ibea,0.57408951,0.944487477,0.600828335
Eclipse,ibea,0.560619921,0.942407647,0.594730942
Eclipse,ibea,0.572575446,0.944233043,0.600526653
Eclipse,ibea,0.560770252,0.942456643,0.594556678
Gerrithub,ibea,0.418555944,0.952156378,0.353122252
Gerrithub,ibea,0.39999061,0.951259904,0.325089928
Gerrithub,ibea,0.41885731,0.952171863,0.353484282
Gerrithub,ibea,0.420961599,0.952280268,0.356014047
Gerrithub,ibea,0.411571458,0.951800374,0.344751381
Libreoffice,ibea,0.48756781,0.964012149,0.49733191
Libreoffice,ibea,0.48756781,0.964012149,0.49733191
Libreoffice,ibea,0.48738061,0.963981088,0.49740104
Libreoffice,ibea,0.48771625,0.964010774,0.4976
Libreoffice,ibea,0.48756781,0.964012149,0.49733191
